Sprint_ID,Date,Year_mode,Quarter_mode,Quality_Rating_min,Quality_Rating_mean,Quality_Rating_max,Workload_Rating_min,Workload_Rating_mean,Workload_Rating_max,Energy_Rating_min,Energy_Rating_mean,Energy_Rating_max,Colleagues_Rating_min,Colleagues_Rating_mean,Colleagues_Rating_max,Sprint_Rating_min,Sprint_Rating_mean,Sprint_Rating_max,Participants_Count
2023_q4_3,2023-09-11,2023,q4,3,4.07,5,1,3.87,5,1,2.47,4,3,4.0,5,6,7.0,9,15
2023_q4_4,2023-09-25,2023,q4,2,3.83,5,2,4.0,5,1,2.83,5,3,3.75,5,3,6.25,9,12
2023_q4_5,2023-10-10,2023,q4,3,4.0,5,2,3.55,5,1,3.27,5,1,3.27,5,3,7.18,9,11
2023_q4_6,2023-10-30,2023,q4,3,4.09,5,1,3.91,5,1,3.27,5,3,4.09,5,4,7.18,9,11
2024_q1_1,2023-11-14,2024,q1,4,4.22,5,3,3.89,5,2,3.44,5,3,4.22,5,5,7.22,9,9
2024_q1_2,2023-11-27,2024,q1,3,3.92,5,2,3.92,5,2,3.46,5,4,4.38,5,5,7.54,9,13
2024_q1_3,2023-12-11,2024,q1,3,3.91,4,3,4.18,5,2,3.27,5,3,4.18,5,5,7.09,8,11
2024_q1_4,2023-12-21,2024,q1,3,4.0,5,3,4.25,5,2,3.38,5,4,4.38,5,5,6.75,9,8
2024_q1_6,2024-02-05,2024,q1,4,4.46,5,3,4.15,5,1,3.54,5,4,4.38,5,7,8.38,10,13
2024_q2_1,2024-02-19,2024,q2,3,3.89,5,2,3.78,5,2,3.11,5,3,3.89,5,6,6.89,8,9
2024_q2_2,2024-02-19,2024,q2,3,3.89,5,2,3.78,5,2,3.11,5,3,3.89,5,6,6.89,8,9
2024_q2_3,2024-03-18,2024,q2,4,4.38,5,3,4.12,5,2,3.75,5,4,4.38,5,7,8.0,9,8
2024_q2_4,2024-04-01,2024,q2,2,3.8,5,2,4.13,5,1,3.13,5,3,4.33,5,4,7.2,10,15
2024_q2_5,2024-04-15,2024,q2,3,3.87,5,2,4.13,5,1,3.27,5,1,3.67,5,5,6.47,9,15
