Id,Date,Quality_Rating,Workload_Rating,Energy_Rating,Colleagues_Rating,Sprint_Rating,Year,Quarter,Sprint_ID
1,2023-09-11,3,3,3,4,7,2023,q4,2023_q4_3
2,2023-09-11,4,4,3,5,8,2023,q4,2023_q4_3
3,2023-09-11,3,4,4,4,7,2023,q4,2023_q4_3
4,2023-09-11,4,4,2,3,6,2023,q4,2023_q4_3
5,2023-09-11,4,4,3,5,7,2023,q4,2023_q4_3
6,2023-09-11,5,5,1,4,9,2023,q4,2023_q4_3
7,2023-09-11,4,4,4,4,7,2023,q4,2023_q4_3
8,2023-09-11,4,4,3,3,6,2023,q4,2023_q4_3
9,2023-09-11,4,4,3,4,7,2023,q4,2023_q4_3
10,2023-09-11,4,4,2,4,6,2023,q4,2023_q4_3
11,2023-09-11,5,3,4,5,8,2023,q4,2023_q4_3
12,2023-09-11,5,1,1,4,7,2023,q4,2023_q4_3
13,2023-09-11,5,5,1,4,7,2023,q4,2023_q4_3
14,2023-09-11,3,5,1,4,7,2023,q4,2023_q4_3
15,2023-09-11,4,4,2,3,6,2023,q4,2023_q4_3
16,2023-09-25,2,2,5,5,5,2023,q4,2023_q4_4
17,2023-09-25,3,5,1,3,9,2023,q4,2023_q4_4
18,2023-09-25,3,5,1,3,3,2023,q4,2023_q4_4
19,2023-09-25,4,4,4,4,7,2023,q4,2023_q4_4
20,2023-09-25,4,4,4,4,7,2023,q4,2023_q4_4
21,2023-09-25,4,4,4,4,7,2023,q4,2023_q4_4
22,2023-09-25,4,4,3,4,6,2023,q4,2023_q4_4
23,2023-09-25,4,4,3,4,6,2023,q4,2023_q4_4
24,2023-09-25,4,4,3,4,6,2023,q4,2023_q4_4
25,2023-09-25,4,4,2,4,8,2023,q4,2023_q4_4
26,2023-09-25,5,4,2,3,8,2023,q4,2023_q4_4
27,2023-09-25,5,4,2,3,3,2023,q4,2023_q4_4
28,2023-10-10,4,5,2,2,9,2023,q4,2023_q4_5
29,2023-10-10,3,5,2,3,6,2023,q4,2023_q4_5
30,2023-10-10,5,4,4,4,8,2023,q4,2023_q4_5
31,2023-10-10,5,4,4,4,8,2023,q4,2023_q4_5
32,2023-10-10,5,4,4,4,8,2023,q4,2023_q4_5
33,2023-10-10,5,4,4,4,8,2023,q4,2023_q4_5
34,2023-10-10,3,3,3,1,8,2023,q4,2023_q4_5
35,2023-10-10,3,3,3,3,6,2023,q4,2023_q4_5
36,2023-10-10,3,3,4,4,8,2023,q4,2023_q4_5
37,2023-10-10,4,2,1,5,3,2023,q4,2023_q4_5
38,2023-10-10,4,2,5,2,7,2023,q4,2023_q4_5
39,2023-10-30,4,5,5,5,8,2023,q4,2023_q4_6
40,2023-10-30,4,5,5,4,7,2023,q4,2023_q4_6
41,2023-10-30,4,4,4,4,8,2023,q4,2023_q4_6
42,2023-10-30,5,1,1,3,4,2023,q4,2023_q4_6
43,2023-10-30,4,4,3,4,8,2023,q4,2023_q4_6
44,2023-10-30,4,4,4,4,8,2023,q4,2023_q4_6
45,2023-10-30,3,3,2,4,7,2023,q4,2023_q4_6
46,2023-10-30,4,5,1,4,4,2023,q4,2023_q4_6
47,2023-10-30,5,5,5,5,9,2023,q4,2023_q4_6
48,2023-10-30,4,4,3,4,7,2023,q4,2023_q4_6
49,2023-10-30,4,3,3,4,9,2023,q4,2023_q4_6
50,2023-11-14,5,4,3,4,7,2024,q1,2024_q1_1
51,2023-11-14,4,5,2,3,5,2024,q1,2024_q1_1
52,2023-11-14,4,3,4,5,9,2024,q1,2024_q1_1
53,2023-11-14,4,3,3,5,7,2024,q1,2024_q1_1
54,2023-11-14,4,4,3,3,5,2024,q1,2024_q1_1
55,2023-11-14,4,3,3,4,8,2024,q1,2024_q1_1
56,2023-11-14,4,3,4,4,8,2024,q1,2024_q1_1
57,2023-11-14,4,5,4,5,9,2024,q1,2024_q1_1
58,2023-11-14,5,5,5,5,7,2024,q1,2024_q1_1
59,2023-11-27,5,4,2,4,8,2024,q1,2024_q1_2
60,2023-11-27,4,4,5,4,8,2024,q1,2024_q1_2
61,2023-11-27,4,5,2,4,8,2024,q1,2024_q1_2
62,2023-11-27,4,3,4,5,8,2024,q1,2024_q1_2
63,2023-11-27,4,4,3,4,7,2024,q1,2024_q1_2
64,2023-11-27,4,4,4,4,8,2024,q1,2024_q1_2
65,2023-11-27,4,5,5,5,7,2024,q1,2024_q1_2
66,2023-11-27,3,4,2,4,8,2024,q1,2024_q1_2
67,2023-11-27,4,3,2,4,8,2024,q1,2024_q1_2
68,2023-11-27,3,3,4,5,6,2024,q1,2024_q1_2
69,2023-11-27,4,5,2,4,5,2024,q1,2024_q1_2
70,2023-11-27,4,5,5,5,8,2024,q1,2024_q1_2
71,2023-11-27,4,2,5,5,9,2024,q1,2024_q1_2
72,2023-12-11,4,4,3,3,8,2024,q1,2024_q1_3
73,2023-12-11,4,3,4,4,8,2024,q1,2024_q1_3
74,2023-12-11,4,4,3,4,7,2024,q1,2024_q1_3
75,2023-12-11,4,5,3,4,8,2024,q1,2024_q1_3
76,2023-12-11,4,4,4,4,8,2024,q1,2024_q1_3
77,2023-12-11,4,3,2,5,8,2024,q1,2024_q1_3
78,2023-12-11,4,5,5,5,6,2024,q1,2024_q1_3
79,2023-12-11,3,5,2,5,5,2024,q1,2024_q1_3
80,2023-12-11,4,4,5,5,8,2024,q1,2024_q1_3
81,2023-12-11,4,4,3,3,6,2024,q1,2024_q1_3
82,2023-12-11,4,5,2,4,6,2024,q1,2024_q1_3
83,2023-12-21,4,4,3,4,6,2024,q1,2024_q1_4
84,2023-12-21,4,5,2,5,5,2024,q1,2024_q1_4
85,2023-12-21,4,4,3,4,7,2024,q1,2024_q1_4
86,2023-12-21,3,4,4,4,7,2024,q1,2024_q1_4
87,2023-12-21,4,5,3,5,9,2024,q1,2024_q1_4
88,2023-12-21,5,5,3,4,7,2024,q1,2024_q1_4
89,2023-12-21,4,3,4,4,6,2024,q1,2024_q1_4
90,2023-12-21,4,4,5,5,7,2024,q1,2024_q1_4
91,2024-02-05,4,5,1,5,9,2024,q1,2024_q1_6
92,2024-02-05,4,4,4,4,8,2024,q1,2024_q1_6
93,2024-02-05,5,5,4,4,9,2024,q1,2024_q1_6
94,2024-02-05,5,5,5,5,8,2024,q1,2024_q1_6
95,2024-02-05,5,5,5,5,10,2024,q1,2024_q1_6
96,2024-02-05,5,3,3,4,8,2024,q1,2024_q1_6
97,2024-02-05,4,3,3,4,9,2024,q1,2024_q1_6
98,2024-02-05,4,5,3,4,7,2024,q1,2024_q1_6
99,2024-02-05,4,5,3,4,8,2024,q1,2024_q1_6
100,2024-02-05,5,5,2,4,7,2024,q1,2024_q1_6
101,2024-02-05,4,3,5,4,9,2024,q1,2024_q1_6
102,2024-02-05,4,3,4,5,8,2024,q1,2024_q1_6
103,2024-02-05,5,3,4,5,9,2024,q1,2024_q1_6
104,2024-02-19,3,4,4,4,7,2024,q2,2024_q2_1
105,2024-02-19,4,3,4,3,7,2024,q2,2024_q2_1
106,2024-02-19,3,4,3,4,7,2024,q2,2024_q2_1
107,2024-02-19,5,5,5,5,6,2024,q2,2024_q2_1
108,2024-02-19,4,4,2,4,8,2024,q2,2024_q2_1
109,2024-02-19,4,4,3,3,7,2024,q2,2024_q2_1
110,2024-02-19,4,2,2,4,7,2024,q2,2024_q2_1
111,2024-02-19,4,3,2,4,7,2024,q2,2024_q2_1
112,2024-02-19,4,3,4,3,7,2024,q2,2024_q2_2
113,2024-02-19,4,5,3,4,6,2024,q2,2024_q2_2
114,2024-02-19,4,2,2,4,7,2024,q2,2024_q2_2
115,2024-02-19,4,5,3,4,6,2024,q2,2024_q2_1
116,2024-02-19,4,4,3,3,7,2024,q2,2024_q2_2
117,2024-02-19,4,4,2,4,8,2024,q2,2024_q2_2
118,2024-02-19,5,5,5,5,6,2024,q2,2024_q2_2
119,2024-02-19,3,4,3,4,7,2024,q2,2024_q2_2
120,2024-02-19,3,4,4,4,7,2024,q2,2024_q2_2
121,2024-02-19,4,3,2,4,7,2024,q2,2024_q2_2
122,2024-03-18,5,4,5,5,8,2024,q2,2024_q2_3
123,2024-03-18,5,3,4,5,8,2024,q2,2024_q2_3
124,2024-03-18,4,4,4,4,8,2024,q2,2024_q2_3
125,2024-03-18,4,5,2,4,7,2024,q2,2024_q2_3
126,2024-03-18,4,4,4,5,8,2024,q2,2024_q2_3
127,2024-03-18,5,4,4,4,9,2024,q2,2024_q2_3
128,2024-03-18,4,5,3,4,8,2024,q2,2024_q2_3
129,2024-03-18,4,4,4,4,8,2024,q2,2024_q2_3
130,2024-04-01,3,2,4,5,7,2024,q2,2024_q2_4
131,2024-04-01,5,5,5,5,7,2024,q2,2024_q2_4
132,2024-04-01,4,4,3,4,8,2024,q2,2024_q2_4
133,2024-04-01,4,3,3,4,6,2024,q2,2024_q2_4
134,2024-04-01,3,4,2,4,8,2024,q2,2024_q2_4
135,2024-04-01,5,5,1,5,10,2024,q2,2024_q2_4
136,2024-04-01,3,4,4,3,7,2024,q2,2024_q2_4
137,2024-04-01,4,5,4,5,7,2024,q2,2024_q2_4
138,2024-04-01,4,3,3,5,7,2024,q2,2024_q2_4
139,2024-04-01,4,3,3,4,8,2024,q2,2024_q2_4
140,2024-04-01,3,5,2,4,7,2024,q2,2024_q2_4
141,2024-04-01,4,5,5,5,8,2024,q2,2024_q2_4
142,2024-04-01,2,5,3,4,4,2024,q2,2024_q2_4
143,2024-04-01,4,4,1,3,5,2024,q2,2024_q2_4
144,2024-04-01,5,5,4,5,9,2024,q2,2024_q2_4
145,2024-04-15,3,5,3,4,8,2024,q2,2024_q2_5
146,2024-04-15,3,5,3,4,5,2024,q2,2024_q2_5
147,2024-04-15,5,5,5,5,9,2024,q2,2024_q2_5
148,2024-04-15,4,4,3,3,6,2024,q2,2024_q2_5
149,2024-04-15,4,5,2,2,5,2024,q2,2024_q2_5
150,2024-04-15,4,5,5,5,6,2024,q2,2024_q2_5
